| filename         | theorem name                | nesting depth | dir rep_macro | log rep | crash invariant  | xcrash |
| AsyncFS.v        | create_ok                   |             1 | no            | yes     | Log.idempred     |        |
| AsyncFS.v        | rename_ok                   |             1 | no            | yes     | Log.idempred     |        |
| AsyncFS.v        | delete_ok                   |             1 | no            | yes     | Log.idempred     |        |
| AsyncFSRecover.v | file_getattr_recover_ok     |             1 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | read_fblock_recover_ok      |             2 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | file_truncate_recover_ok    |             1 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | update_fblock_d_recover_ok  |             2 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | file_sync_recover_ok        |             1 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | lookup_recover_ok           |             1 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | create_recover_ok           |             1 | no            | yes     | N/A              |        |
| AsyncFSRecover.v | rename_recover_ok           |             1 | no            | yes     | N/A              |        |
